LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
10m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-hvzqb    Startup probe failed: Get "http://10.244.2.213:8081/actuator/health": dial tcp 10.244.2.213:8081: connect: connection refused
10m         Normal    Scheduled           pod/fortio-368fabc0                     Successfully assigned minishop/fortio-368fabc0 to minikube
10m         Normal    Started             pod/fortio-368fabc0                     Started container fortio-368fabc0
10m         Normal    Created             pod/fortio-368fabc0                     Created container: fortio-368fabc0
10m         Normal    Pulled              pod/fortio-368fabc0                     Container image "fortio/fortio:1.63.0" already present on machine
10m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4l79c    Startup probe failed: Get "http://10.244.2.212:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
10m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-hvzqb    Startup probe failed: Get "http://10.244.2.213:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
10m         Normal    Scheduled           pod/fortio-a26ed17b                     Successfully assigned minishop/fortio-a26ed17b to minikube
10m         Normal    Pulled              pod/fortio-a26ed17b                     Container image "fortio/fortio:1.63.0" already present on machine
10m         Normal    Started             pod/fortio-a26ed17b                     Started container fortio-a26ed17b
10m         Normal    Created             pod/fortio-a26ed17b                     Created container: fortio-a26ed17b
9m52s       Normal    Scheduled           pod/fortio-caebd375                     Successfully assigned minishop/fortio-caebd375 to minikube
9m52s       Normal    Pulled              pod/fortio-caebd375                     Container image "fortio/fortio:1.63.0" already present on machine
9m52s       Normal    Created             pod/fortio-caebd375                     Created container: fortio-caebd375
9m52s       Normal    Started             pod/fortio-caebd375                     Started container fortio-caebd375
9m41s       Normal    Scheduled           pod/fortio-f31489d2                     Successfully assigned minishop/fortio-f31489d2 to minikube
9m41s       Normal    Created             pod/fortio-f31489d2                     Created container: fortio-f31489d2
9m41s       Normal    Pulled              pod/fortio-f31489d2                     Container image "fortio/fortio:1.63.0" already present on machine
9m40s       Normal    Started             pod/fortio-f31489d2                     Started container fortio-f31489d2
9m          Normal    Scheduled           pod/fortio-cf8b7029                     Successfully assigned minishop/fortio-cf8b7029 to minikube
8m59s       Normal    Pulled              pod/fortio-cf8b7029                     Container image "fortio/fortio:1.63.0" already present on machine
8m59s       Normal    Created             pod/fortio-cf8b7029                     Created container: fortio-cf8b7029
8m58s       Normal    Started             pod/fortio-cf8b7029                     Started container fortio-cf8b7029
8m48s       Normal    Scheduled           pod/fortio-20ac5814                     Successfully assigned minishop/fortio-20ac5814 to minikube
8m48s       Normal    Started             pod/fortio-20ac5814                     Started container fortio-20ac5814
8m48s       Normal    Pulled              pod/fortio-20ac5814                     Container image "fortio/fortio:1.63.0" already present on machine
8m48s       Normal    Created             pod/fortio-20ac5814                     Created container: fortio-20ac5814
8m33s       Normal    SuccessfulRescale   horizontalpodautoscaler/gateway-hpa     New size: 6; reason: cpu resource utilization (percentage of request) above target
8m33s       Normal    ScalingReplicaSet   deployment/gateway-service              Scaled up replica set gateway-service-68ff9dfb68 from 3 to 6
8m33s       Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-4ppdj
8m33s       Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-89grp
8m33s       Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-z6rgf
8m32s       Normal    Scheduled           pod/gateway-service-68ff9dfb68-89grp    Successfully assigned minishop/gateway-service-68ff9dfb68-89grp to minikube
8m32s       Normal    Scheduled           pod/gateway-service-68ff9dfb68-4ppdj    Successfully assigned minishop/gateway-service-68ff9dfb68-4ppdj to minikube
8m32s       Normal    Scheduled           pod/gateway-service-68ff9dfb68-z6rgf    Successfully assigned minishop/gateway-service-68ff9dfb68-z6rgf to minikube
8m31s       Normal    Created             pod/gateway-service-68ff9dfb68-z6rgf    Created container: gateway-service
8m31s       Normal    Created             pod/gateway-service-68ff9dfb68-89grp    Created container: gateway-service
8m31s       Normal    Pulled              pod/gateway-service-68ff9dfb68-4ppdj    Container image "minishop/gateway-service:0.1" already present on machine
8m31s       Normal    Created             pod/gateway-service-68ff9dfb68-4ppdj    Created container: gateway-service
8m31s       Normal    Pulled              pod/gateway-service-68ff9dfb68-z6rgf    Container image "minishop/gateway-service:0.1" already present on machine
8m31s       Normal    Pulled              pod/gateway-service-68ff9dfb68-89grp    Container image "minishop/gateway-service:0.1" already present on machine
8m30s       Normal    Started             pod/gateway-service-68ff9dfb68-4ppdj    Started container gateway-service
8m30s       Normal    Started             pod/gateway-service-68ff9dfb68-z6rgf    Started container gateway-service
8m30s       Normal    Started             pod/gateway-service-68ff9dfb68-89grp    Started container gateway-service
7m33s       Warning   Unhealthy           pod/gateway-service-68ff9dfb68-z6rgf    Startup probe failed: Get "http://10.244.2.221:8081/actuator/health": dial tcp 10.244.2.221:8081: connect: connection refused
7m33s       Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4ppdj    Startup probe failed: Get "http://10.244.2.223:8081/actuator/health": dial tcp 10.244.2.223:8081: connect: connection refused
7m33s       Warning   Unhealthy           pod/gateway-service-68ff9dfb68-89grp    Startup probe failed: Get "http://10.244.2.222:8081/actuator/health": dial tcp 10.244.2.222:8081: connect: connection refused
