"pattern","strategy","rep","segment","qps_req","qps_act","count","avg_ms","p50_ms","p90_ms","p99_ms","max_ms","code200","errors","start","file"
"spike","baseline","rep2","spike","60","59.994","1800","2.121","1.885","2.881","6.462","8.986","1800","0","2026-01-25T02:12:23.185526934Z","spike\baseline\rep2\fortio_spike.json"
"spike","baseline","rep2","warmup","10","9.992","50","2.188","2.269","3.061","3.335","3.366","50","0","2026-01-25T02:10:55.439891631Z","spike\baseline\rep2\fortio_warmup.json"
"spike","baseline","rep3","low_1","10","9.999","600","35.125","2.119","2.958","1358.801","1897.004","600","0","2026-01-25T02:14:34.746306684Z","spike\baseline\rep3\fortio_low_1.json"
"spike","baseline","rep3","low_2","10","9.999","600","1.714","1.593","2.519","5.167","6.013","600","0","2026-01-25T02:18:59.747193707Z","spike\baseline\rep3\fortio_low_2.json"
"spike","baseline","rep3","spike","60","59.996","1800","1.636","1.549","2.352","8.333","17.61","1800","0","2026-01-25T02:18:20.308939894Z","spike\baseline\rep3\fortio_spike.json"
"spike","baseline","rep3","warmup","10","9.993","50","2.293","1.848","4.281","4.534","4.562","50","0","2026-01-25T02:14:18.994373739Z","spike\baseline\rep3\fortio_warmup.json"
"spike","hybrid","rep1","low_1","10","10","600","1.858","1.713","2.702","3.937","5.93","600","0","2026-01-26T23:27:49.412310645Z","spike\hybrid\rep1\fortio_low_1.json"
"spike","hybrid","rep1","low_2","10","10","600","1.793","1.643","2.511","5.556","14.918","600","0","2026-01-26T23:29:40.153739365Z","spike\hybrid\rep1\fortio_low_2.json"
"spike","hybrid","rep1","spike","60","59.994","1800","1.686","1.549","1.989","4.667","8.1","1800","0","2026-01-26T23:28:59.610807244Z","spike\hybrid\rep1\fortio_spike.json"
"spike","hybrid","rep1","warmup","10","9.993","50","1.966","1.814","2.8","4.625","4.834","50","0","2026-01-26T23:27:34.355633659Z","spike\hybrid\rep1\fortio_warmup.json"
"spike","hybrid","rep2","low_1","10","10","600","1.7","1.593","2.02","5.084","5.588","600","0","2026-01-26T23:31:05.273664391Z","spike\hybrid\rep2\fortio_low_1.json"
"spike","hybrid","rep2","low_2","10","9.999","600","1.751","1.61","2.241","5.177","5.444","600","0","2026-01-26T23:32:55.146025859Z","spike\hybrid\rep2\fortio_low_2.json"
"spike","hybrid","rep2","spike","60","59.993","1800","1.732","1.583","2.27","4.97","13.6","1800","0","2026-01-26T23:32:15.218269464Z","spike\hybrid\rep2\fortio_spike.json"
"spike","hybrid","rep2","warmup","10","9.993","50","2.323","1.711","5.75","6.24","6.274","50","0","2026-01-26T23:30:49.815524807Z","spike\hybrid\rep2\fortio_warmup.json"
"spike","hybrid","rep3","low_1","10","9.999","600","1.875","1.615","2.568","10.571","11.865","600","0","2026-01-26T23:34:18.83254556Z","spike\hybrid\rep3\fortio_low_1.json"
"spike","hybrid","rep3","low_2","10","9.999","600","1.932","1.729","2.723","6.5","7.621","600","0","2026-01-26T23:36:09.117219047Z","spike\hybrid\rep3\fortio_low_2.json"
"spike","hybrid","rep3","spike","60","59.994","1800","1.759","1.591","2.393","4.864","6.875","1800","0","2026-01-26T23:35:28.056622675Z","spike\hybrid\rep3\fortio_spike.json"
"spike","hybrid","rep3","warmup","10","9.993","50","1.909","1.752","2.8","3.416","3.499","50","0","2026-01-26T23:34:04.521819683Z","spike\hybrid\rep3\fortio_warmup.json"
