LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
21m         Normal    Scheduled           pod/fortio-cf8b7029                     Successfully assigned minishop/fortio-cf8b7029 to minikube
21m         Normal    Pulled              pod/fortio-cf8b7029                     Container image "fortio/fortio:1.63.0" already present on machine
21m         Normal    Created             pod/fortio-cf8b7029                     Created container: fortio-cf8b7029
21m         Normal    Started             pod/fortio-cf8b7029                     Started container fortio-cf8b7029
20m         Normal    Scheduled           pod/fortio-20ac5814                     Successfully assigned minishop/fortio-20ac5814 to minikube
20m         Normal    Created             pod/fortio-20ac5814                     Created container: fortio-20ac5814
20m         Normal    Started             pod/fortio-20ac5814                     Started container fortio-20ac5814
20m         Normal    Pulled              pod/fortio-20ac5814                     Container image "fortio/fortio:1.63.0" already present on machine
20m         Normal    Scheduled           pod/gateway-service-68ff9dfb68-z6rgf    Successfully assigned minishop/gateway-service-68ff9dfb68-z6rgf to minikube
20m         Normal    SuccessfulRescale   horizontalpodautoscaler/gateway-hpa     New size: 6; reason: cpu resource utilization (percentage of request) above target
20m         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-89grp
20m         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-4ppdj
20m         Normal    ScalingReplicaSet   deployment/gateway-service              Scaled up replica set gateway-service-68ff9dfb68 from 3 to 6
20m         Normal    Scheduled           pod/gateway-service-68ff9dfb68-89grp    Successfully assigned minishop/gateway-service-68ff9dfb68-89grp to minikube
20m         Normal    SuccessfulCreate    replicaset/gateway-service-68ff9dfb68   Created pod: gateway-service-68ff9dfb68-z6rgf
20m         Normal    Scheduled           pod/gateway-service-68ff9dfb68-4ppdj    Successfully assigned minishop/gateway-service-68ff9dfb68-4ppdj to minikube
20m         Normal    Created             pod/gateway-service-68ff9dfb68-4ppdj    Created container: gateway-service
20m         Normal    Created             pod/gateway-service-68ff9dfb68-89grp    Created container: gateway-service
20m         Normal    Pulled              pod/gateway-service-68ff9dfb68-89grp    Container image "minishop/gateway-service:0.1" already present on machine
20m         Normal    Pulled              pod/gateway-service-68ff9dfb68-z6rgf    Container image "minishop/gateway-service:0.1" already present on machine
20m         Normal    Created             pod/gateway-service-68ff9dfb68-z6rgf    Created container: gateway-service
20m         Normal    Pulled              pod/gateway-service-68ff9dfb68-4ppdj    Container image "minishop/gateway-service:0.1" already present on machine
20m         Normal    Started             pod/gateway-service-68ff9dfb68-z6rgf    Started container gateway-service
20m         Normal    Started             pod/gateway-service-68ff9dfb68-4ppdj    Started container gateway-service
20m         Normal    Started             pod/gateway-service-68ff9dfb68-89grp    Started container gateway-service
19m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-z6rgf    Startup probe failed: Get "http://10.244.2.221:8081/actuator/health": dial tcp 10.244.2.221:8081: connect: connection refused
19m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4ppdj    Startup probe failed: Get "http://10.244.2.223:8081/actuator/health": dial tcp 10.244.2.223:8081: connect: connection refused
19m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-89grp    Startup probe failed: Get "http://10.244.2.222:8081/actuator/health": dial tcp 10.244.2.222:8081: connect: connection refused
20m         Normal    Scheduled           pod/fortio-16704acf                     Successfully assigned minishop/fortio-16704acf to minikube
20m         Normal    Pulled              pod/fortio-16704acf                     Container image "fortio/fortio:1.63.0" already present on machine
20m         Normal    Created             pod/fortio-16704acf                     Created container: fortio-16704acf
20m         Normal    Started             pod/fortio-16704acf                     Started container fortio-16704acf
19m         Normal    Scheduled           pod/fortio-d634eaf1                     Successfully assigned minishop/fortio-d634eaf1 to minikube
19m         Normal    Started             pod/fortio-d634eaf1                     Started container fortio-d634eaf1
19m         Normal    Created             pod/fortio-d634eaf1                     Created container: fortio-d634eaf1
19m         Normal    Pulled              pod/fortio-d634eaf1                     Container image "fortio/fortio:1.63.0" already present on machine
19m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-89grp    Startup probe failed: Get "http://10.244.2.222:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
19m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-4ppdj    Startup probe failed: Get "http://10.244.2.223:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
19m         Warning   Unhealthy           pod/gateway-service-68ff9dfb68-z6rgf    Startup probe failed: Get "http://10.244.2.221:8081/actuator/health": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
19m         Normal    Scheduled           pod/fortio-71dce2bf                     Successfully assigned minishop/fortio-71dce2bf to minikube
19m         Normal    Started             pod/fortio-71dce2bf                     Started container fortio-71dce2bf
19m         Normal    Created             pod/fortio-71dce2bf                     Created container: fortio-71dce2bf
19m         Normal    Pulled              pod/fortio-71dce2bf                     Container image "fortio/fortio:1.63.0" already present on machine
18m         Normal    Scheduled           pod/fortio-e3fb8a01                     Successfully assigned minishop/fortio-e3fb8a01 to minikube
18m         Normal    Pulled              pod/fortio-e3fb8a01                     Container image "fortio/fortio:1.63.0" already present on machine
18m         Normal    Created             pod/fortio-e3fb8a01                     Created container: fortio-e3fb8a01
18m         Normal    Started             pod/fortio-e3fb8a01                     Started container fortio-e3fb8a01
18m         Normal    Scheduled           pod/fortio-6d20cbf7                     Successfully assigned minishop/fortio-6d20cbf7 to minikube
18m         Normal    Started             pod/fortio-6d20cbf7                     Started container fortio-6d20cbf7
18m         Normal    Pulled              pod/fortio-6d20cbf7                     Container image "fortio/fortio:1.63.0" already present on machine
18m         Normal    Created             pod/fortio-6d20cbf7                     Created container: fortio-6d20cbf7
