timestamp,deploy,replicas_ready,replicas_total
2026-01-24T02:59:21.9543802+01:00,ERROR,0,0
2026-01-24T02:59:21.9732011+01:00,ERROR,0,0
2026-01-24T02:59:21.9801942+01:00,ERROR,0,0
2026-01-24T02:59:21.9893277+01:00,ERROR,0,0
2026-01-24T02:59:21.9957943+01:00,ERROR,0,0
2026-01-24T02:59:22.0180570+01:00,ERROR,0,0
2026-01-24T02:59:22.0329338+01:00,ERROR,0,0
2026-01-24T02:59:22.0406446+01:00,ERROR,0,0
2026-01-24T02:59:22.0477110+01:00,ERROR,0,0
2026-01-24T02:59:22.0557544+01:00,ERROR,0,0
2026-01-24T02:59:22.0659320+01:00,ERROR,0,0
2026-01-24T02:59:22.0729430+01:00,ERROR,0,0
2026-01-24T02:59:22.0821992+01:00,ERROR,0,0
2026-01-24T02:59:22.0917307+01:00,ERROR,0,0
2026-01-24T02:59:22.0989612+01:00,ERROR,0,0
2026-01-24T02:59:22.1073802+01:00,ERROR,0,0
2026-01-24T02:59:22.1205939+01:00,ERROR,0,0
2026-01-24T02:59:22.1326507+01:00,ERROR,0,0
2026-01-24T02:59:22.1419123+01:00,ERROR,0,0
2026-01-24T02:59:22.1544329+01:00,ERROR,0,0
2026-01-24T02:59:22.1623280+01:00,ERROR,0,0
2026-01-24T02:59:22.1708388+01:00,ERROR,0,0
2026-01-24T02:59:22.1798555+01:00,ERROR,0,0
2026-01-24T02:59:22.1890344+01:00,ERROR,0,0
2026-01-24T02:59:22.1985940+01:00,ERROR,0,0
2026-01-24T02:59:22.2091222+01:00,ERROR,0,0
2026-01-24T02:59:22.2189865+01:00,ERROR,0,0
2026-01-24T02:59:22.2275243+01:00,ERROR,0,0
2026-01-24T02:59:22.2379735+01:00,ERROR,0,0
2026-01-24T02:59:22.2465016+01:00,ERROR,0,0
2026-01-24T02:59:22.2552649+01:00,ERROR,0,0
2026-01-24T02:59:22.2642621+01:00,ERROR,0,0
2026-01-24T02:59:22.2727919+01:00,ERROR,0,0
2026-01-24T02:59:22.2809613+01:00,ERROR,0,0
2026-01-24T02:59:22.2895142+01:00,ERROR,0,0
2026-01-24T02:59:22.2990651+01:00,ERROR,0,0
2026-01-24T02:59:22.3061837+01:00,ERROR,0,0
2026-01-24T02:59:22.3151476+01:00,ERROR,0,0
2026-01-24T02:59:22.3246804+01:00,ERROR,0,0
2026-01-24T02:59:22.3318314+01:00,ERROR,0,0
2026-01-24T02:59:22.3394086+01:00,ERROR,0,0
2026-01-24T02:59:22.3486419+01:00,ERROR,0,0
2026-01-24T02:59:22.3561847+01:00,ERROR,0,0
2026-01-24T02:59:22.3732188+01:00,ERROR,0,0
2026-01-24T02:59:22.3824633+01:00,ERROR,0,0
2026-01-24T02:59:22.3916590+01:00,ERROR,0,0
2026-01-24T02:59:22.4010018+01:00,ERROR,0,0
2026-01-24T02:59:22.4101440+01:00,ERROR,0,0
2026-01-24T02:59:22.4181549+01:00,ERROR,0,0
2026-01-24T02:59:22.4253001+01:00,ERROR,0,0
2026-01-24T02:59:22.4348368+01:00,ERROR,0,0
2026-01-24T02:59:22.4442437+01:00,ERROR,0,0
2026-01-24T02:59:22.4543785+01:00,ERROR,0,0
2026-01-24T02:59:22.4623631+01:00,ERROR,0,0
2026-01-24T02:59:22.4714283+01:00,ERROR,0,0
2026-01-24T02:59:22.4789568+01:00,ERROR,0,0
2026-01-24T02:59:22.4882310+01:00,ERROR,0,0
2026-01-24T02:59:22.4956646+01:00,ERROR,0,0
2026-01-24T02:59:22.5064162+01:00,ERROR,0,0
2026-01-24T02:59:22.5152354+01:00,ERROR,0,0
2026-01-24T02:59:22.5238568+01:00,ERROR,0,0
2026-01-24T02:59:22.5330533+01:00,ERROR,0,0
2026-01-24T02:59:22.5425868+01:00,ERROR,0,0
2026-01-24T02:59:22.5497627+01:00,ERROR,0,0
2026-01-24T02:59:22.5596811+01:00,ERROR,0,0
2026-01-24T02:59:22.5681796+01:00,ERROR,0,0
2026-01-24T02:59:22.5761783+01:00,ERROR,0,0
2026-01-24T02:59:22.5847580+01:00,ERROR,0,0
2026-01-24T02:59:22.5939281+01:00,ERROR,0,0
2026-01-24T02:59:22.6034436+01:00,ERROR,0,0
2026-01-24T02:59:22.6116239+01:00,ERROR,0,0
2026-01-24T02:59:22.6201703+01:00,ERROR,0,0
2026-01-24T02:59:22.6289165+01:00,ERROR,0,0
2026-01-24T02:59:22.6364556+01:00,ERROR,0,0
2026-01-24T02:59:22.6451578+01:00,ERROR,0,0
2026-01-24T02:59:22.6578797+01:00,ERROR,0,0
2026-01-24T02:59:22.6679427+01:00,ERROR,0,0
2026-01-24T02:59:22.6781291+01:00,ERROR,0,0
2026-01-24T02:59:22.6857517+01:00,ERROR,0,0
2026-01-24T02:59:22.6968555+01:00,ERROR,0,0
2026-01-24T02:59:22.7146792+01:00,ERROR,0,0
2026-01-24T02:59:22.7234061+01:00,ERROR,0,0
2026-01-24T02:59:22.7347059+01:00,ERROR,0,0
2026-01-24T02:59:22.7464501+01:00,ERROR,0,0
2026-01-24T02:59:22.7548068+01:00,ERROR,0,0
2026-01-24T02:59:22.7621324+01:00,ERROR,0,0
2026-01-24T02:59:22.7723362+01:00,ERROR,0,0
2026-01-24T02:59:22.7794921+01:00,ERROR,0,0
2026-01-24T02:59:22.7881013+01:00,ERROR,0,0
2026-01-24T02:59:22.7962123+01:00,ERROR,0,0
2026-01-24T02:59:22.8032244+01:00,ERROR,0,0
2026-01-24T02:59:22.8124212+01:00,ERROR,0,0
2026-01-24T02:59:22.8209678+01:00,ERROR,0,0
2026-01-24T02:59:22.8301928+01:00,ERROR,0,0
2026-01-24T02:59:22.8377044+01:00,ERROR,0,0
2026-01-24T02:59:22.8482519+01:00,ERROR,0,0
2026-01-24T02:59:22.8553391+01:00,ERROR,0,0
2026-01-24T02:59:22.8645107+01:00,ERROR,0,0
2026-01-24T02:59:22.8710897+01:00,ERROR,0,0
2026-01-24T02:59:22.8803878+01:00,ERROR,0,0
2026-01-24T02:59:22.8880245+01:00,ERROR,0,0
2026-01-24T02:59:22.8965747+01:00,ERROR,0,0
2026-01-24T02:59:22.9061287+01:00,ERROR,0,0
2026-01-24T02:59:22.9132800+01:00,ERROR,0,0
2026-01-24T02:59:22.9234916+01:00,ERROR,0,0
2026-01-24T02:59:22.9330117+01:00,ERROR,0,0
2026-01-24T02:59:22.9413697+01:00,ERROR,0,0
2026-01-24T02:59:22.9487824+01:00,ERROR,0,0
2026-01-24T02:59:22.9593942+01:00,ERROR,0,0
2026-01-24T02:59:22.9669086+01:00,ERROR,0,0
2026-01-24T02:59:22.9764820+01:00,ERROR,0,0
2026-01-24T02:59:22.9859962+01:00,ERROR,0,0
2026-01-24T02:59:22.9940149+01:00,ERROR,0,0
2026-01-24T02:59:23.0138895+01:00,ERROR,0,0
2026-01-24T02:59:23.0234191+01:00,ERROR,0,0
2026-01-24T02:59:23.0549363+01:00,ERROR,0,0
2026-01-24T02:59:23.0660875+01:00,ERROR,0,0
2026-01-24T02:59:23.0766795+01:00,ERROR,0,0
2026-01-24T02:59:23.0862181+01:00,ERROR,0,0
2026-01-24T02:59:23.0957517+01:00,ERROR,0,0
2026-01-24T02:59:23.1053577+01:00,ERROR,0,0
2026-01-24T02:59:23.1130055+01:00,ERROR,0,0
2026-01-24T02:59:23.1241471+01:00,ERROR,0,0
2026-01-24T02:59:23.1350142+01:00,ERROR,0,0
2026-01-24T02:59:23.1435325+01:00,ERROR,0,0
2026-01-24T02:59:23.1515774+01:00,ERROR,0,0
2026-01-24T02:59:23.1615850+01:00,ERROR,0,0
2026-01-24T02:59:23.1717718+01:00,ERROR,0,0
2026-01-24T02:59:23.1797861+01:00,ERROR,0,0
2026-01-24T02:59:23.1873180+01:00,ERROR,0,0
2026-01-24T02:59:23.1958542+01:00,ERROR,0,0
2026-01-24T02:59:23.2054470+01:00,ERROR,0,0
2026-01-24T02:59:23.2124441+01:00,ERROR,0,0
2026-01-24T02:59:23.2229692+01:00,ERROR,0,0
2026-01-24T02:59:23.2306018+01:00,ERROR,0,0
2026-01-24T02:59:23.2381396+01:00,ERROR,0,0
2026-01-24T02:59:23.2471921+01:00,ERROR,0,0
2026-01-24T02:59:23.2562350+01:00,ERROR,0,0
2026-01-24T02:59:23.2637731+01:00,ERROR,0,0
2026-01-24T02:59:23.2732977+01:00,ERROR,0,0
2026-01-24T02:59:23.2805371+01:00,ERROR,0,0
2026-01-24T02:59:23.2890465+01:00,ERROR,0,0
2026-01-24T02:59:23.2981076+01:00,ERROR,0,0
2026-01-24T02:59:23.3066799+01:00,ERROR,0,0
2026-01-24T02:59:23.3162055+01:00,ERROR,0,0
2026-01-24T02:59:23.3252497+01:00,ERROR,0,0
2026-01-24T02:59:23.3337863+01:00,ERROR,0,0
2026-01-24T02:59:23.3413505+01:00,ERROR,0,0
2026-01-24T02:59:23.3508661+01:00,ERROR,0,0
2026-01-24T02:59:23.3581658+01:00,ERROR,0,0
2026-01-24T02:59:23.3666987+01:00,ERROR,0,0
2026-01-24T02:59:23.3810155+01:00,ERROR,0,0
2026-01-24T02:59:23.3938095+01:00,ERROR,0,0
2026-01-24T02:59:23.4023589+01:00,ERROR,0,0
2026-01-24T02:59:23.4118794+01:00,ERROR,0,0
2026-01-24T02:59:23.4209142+01:00,ERROR,0,0
2026-01-24T02:59:23.4284432+01:00,ERROR,0,0
2026-01-24T02:59:23.4379722+01:00,ERROR,0,0
2026-01-24T02:59:23.4451006+01:00,ERROR,0,0
2026-01-24T02:59:23.4538095+01:00,ERROR,0,0
2026-01-24T02:59:23.4613378+01:00,ERROR,0,0
2026-01-24T02:59:23.4688658+01:00,ERROR,0,0
2026-01-24T02:59:23.4774001+01:00,ERROR,0,0
2026-01-24T02:59:23.4849190+01:00,ERROR,0,0
2026-01-24T02:59:23.4934298+01:00,ERROR,0,0
2026-01-24T02:59:23.5009496+01:00,ERROR,0,0
2026-01-24T02:59:23.5080903+01:00,ERROR,0,0
2026-01-24T02:59:23.5172291+01:00,ERROR,0,0
2026-01-24T02:59:23.5257714+01:00,ERROR,0,0
2026-01-24T02:59:23.5343690+01:00,ERROR,0,0
2026-01-24T02:59:23.5425050+01:00,ERROR,0,0
2026-01-24T02:59:23.5520557+01:00,ERROR,0,0
2026-01-24T02:59:23.5590822+01:00,ERROR,0,0
2026-01-24T02:59:23.5684291+01:00,ERROR,0,0
2026-01-24T02:59:23.5762982+01:00,ERROR,0,0
2026-01-24T02:59:23.5844935+01:00,ERROR,0,0
2026-01-24T02:59:23.5930053+01:00,ERROR,0,0
2026-01-24T02:59:23.6020296+01:00,ERROR,0,0
2026-01-24T02:59:23.6105464+01:00,ERROR,0,0
2026-01-24T02:59:23.6176824+01:00,ERROR,0,0
2026-01-24T02:59:23.6281867+01:00,ERROR,0,0
2026-01-24T02:59:23.6387239+01:00,ERROR,0,0
2026-01-24T02:59:23.6473010+01:00,ERROR,0,0
2026-01-24T02:59:23.6578585+01:00,ERROR,0,0
2026-01-24T02:59:23.6659086+01:00,ERROR,0,0
2026-01-24T02:59:23.6749234+01:00,ERROR,0,0
2026-01-24T02:59:23.6835201+01:00,ERROR,0,0
2026-01-24T02:59:23.6910453+01:00,ERROR,0,0
2026-01-24T02:59:23.6986214+01:00,ERROR,0,0
2026-01-24T02:59:23.7097746+01:00,ERROR,0,0
2026-01-24T02:59:23.7216062+01:00,ERROR,0,0
2026-01-24T02:59:23.7347308+01:00,ERROR,0,0
2026-01-24T02:59:23.7425045+01:00,ERROR,0,0
2026-01-24T02:59:23.7535824+01:00,ERROR,0,0
2026-01-24T02:59:23.7657374+01:00,ERROR,0,0
2026-01-24T02:59:23.7751412+01:00,ERROR,0,0
2026-01-24T02:59:23.7832472+01:00,ERROR,0,0
2026-01-24T02:59:23.7946294+01:00,ERROR,0,0
2026-01-24T02:59:23.8049413+01:00,ERROR,0,0
2026-01-24T02:59:23.8203064+01:00,ERROR,0,0
2026-01-24T02:59:23.8333045+01:00,ERROR,0,0
2026-01-24T02:59:23.8477118+01:00,ERROR,0,0
2026-01-24T02:59:23.8609626+01:00,ERROR,0,0
2026-01-24T02:59:23.8762230+01:00,ERROR,0,0
2026-01-24T02:59:23.8891824+01:00,ERROR,0,0
2026-01-24T02:59:23.9036226+01:00,ERROR,0,0
2026-01-24T02:59:23.9197479+01:00,ERROR,0,0
2026-01-24T02:59:23.9395071+01:00,ERROR,0,0
2026-01-24T02:59:23.9531710+01:00,ERROR,0,0
2026-01-24T02:59:23.9703007+01:00,ERROR,0,0
2026-01-24T02:59:23.9888067+01:00,ERROR,0,0
2026-01-24T02:59:24.0050102+01:00,ERROR,0,0
2026-01-24T02:59:24.0234408+01:00,ERROR,0,0
2026-01-24T02:59:24.0520716+01:00,ERROR,0,0
2026-01-24T02:59:24.0716212+01:00,ERROR,0,0
2026-01-24T02:59:24.0885473+01:00,ERROR,0,0
2026-01-24T02:59:24.1088737+01:00,ERROR,0,0
2026-01-24T02:59:24.1266709+01:00,ERROR,0,0
2026-01-24T02:59:24.1461609+01:00,ERROR,0,0
2026-01-24T02:59:24.1639600+01:00,ERROR,0,0
2026-01-24T02:59:24.1816679+01:00,ERROR,0,0
2026-01-24T02:59:24.1958830+01:00,ERROR,0,0
2026-01-24T02:59:24.2088423+01:00,ERROR,0,0
2026-01-24T02:59:24.2232182+01:00,ERROR,0,0
2026-01-24T02:59:24.2410484+01:00,ERROR,0,0
2026-01-24T02:59:24.2597474+01:00,ERROR,0,0
2026-01-24T02:59:24.2758095+01:00,ERROR,0,0
2026-01-24T02:59:24.2905069+01:00,ERROR,0,0
2026-01-24T02:59:24.3018575+01:00,ERROR,0,0
2026-01-24T02:59:24.3177530+01:00,ERROR,0,0
2026-01-24T02:59:24.3337315+01:00,ERROR,0,0
2026-01-24T02:59:24.3437715+01:00,ERROR,0,0
2026-01-24T02:59:24.3527040+01:00,ERROR,0,0
2026-01-24T02:59:24.3623686+01:00,ERROR,0,0
2026-01-24T02:59:24.3714874+01:00,ERROR,0,0
2026-01-24T02:59:24.3797218+01:00,ERROR,0,0
2026-01-24T02:59:24.3862420+01:00,ERROR,0,0
2026-01-24T02:59:24.3972957+01:00,ERROR,0,0
2026-01-24T02:59:24.4042956+01:00,ERROR,0,0
